Gene_ID,GO_ID,GO_Term,Ontology
Ca_00265,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_00266,GO:0008270,zinc ion binding,MF
Ca_00266,GO:0016491,oxidoreductase activity,MF
Ca_00266,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_00267,GO:0003735,structural constituent of ribosome,MF
Ca_00267,GO:0005622,intracellular anatomical structure,CC
Ca_00267,GO:0005840,ribosome,CC
Ca_00267,GO:0006412,translation,BP
Ca_00267,GO:0015934,large ribosomal subunit,CC
Ca_00268,GO:0003676,nucleic acid binding,MF
Ca_00268,GO:0004519,endonuclease activity,MF
Ca_00268,GO:0006308,DNA catabolic process,BP
Ca_00268,GO:0016788,"hydrolase activity, acting on ester bonds",MF
Ca_00270,GO:0006790,sulfur compound metabolic process,BP
Ca_00270,GO:0008441,"3'(2'),5'-bisphosphate nucleotidase activity",MF
Ca_00270,GO:0046854,phosphatidylinositol phosphate biosynthetic process,BP
Ca_00272,GO:0015031,protein transport,BP
Ca_00273,GO:0006952,defense response,BP
Ca_00273,GO:0043531,ADP binding,MF
Ca_00274,GO:0015031,protein transport,BP
Ca_00275,GO:0005515,protein binding,MF
Ca_00275,GO:0006952,defense response,BP
Ca_00275,GO:0043531,ADP binding,MF
Ca_00278,GO:0003682,chromatin binding,MF
Ca_00278,GO:0005515,protein binding,MF
Ca_00279,GO:0005515,protein binding,MF
Ca_00279,GO:0008017,microtubule binding,MF
Ca_00279,GO:0008352,katanin complex,CC
Ca_00279,GO:0051013,microtubule severing,BP
Ca_00280,GO:0004672,protein kinase activity,MF
Ca_00280,GO:0005515,protein binding,MF
Ca_00280,GO:0005524,ATP binding,MF
Ca_00280,GO:0006468,protein phosphorylation,BP
Ca_00280,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00283,GO:0005515,protein binding,MF
Ca_00285,GO:0005515,protein binding,MF
Ca_00286,GO:0003676,nucleic acid binding,MF
Ca_00286,GO:0003677,DNA binding,MF
Ca_00286,GO:0004386,helicase activity,MF
Ca_00286,GO:0005515,protein binding,MF
