Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_08138,Androecium,3113.834418,167.52135745161291,1256.694177,18.483321432384937,2.476623073368972,0.3748447971989448,0.946200942322678,Tissue-specific,Androecium,putative pectinesterase/pectinesterase inhibitor 28-like [Glycine max],NA,46.208055994351895
Ca_17552,Androecium,194.217478,1.8017377580645162,23.515788,69.6772841919578,7.9629289501116585,0.77664826124613,0.9907230915743612,Tissue-specific,Androecium,cation/H+ exchanger 19,NA,46.15443206043832
Ca_12142,Androecium,228.069291,2.7149600806451613,27.245478,61.66130618561546,8.109945634483509,0.7304456989528817,0.9880958980985952,Tissue-specific,Androecium,sugar porter (SP) family MFS transporter,NA,46.06187107716817
Ca_01983,Androecium,270.845469,3.989501435483871,37.219874,54.483493494302806,7.1126730820724315,0.6865189590692335,0.9852701931835386,Tissue-specific,Androecium,mitochondrial chaperone BCS1-like [Glycine max],NA,45.95468979967854
Ca_15061,Androecium,5798.233822,379.86513383870965,2762.060059,15.226476006217686,2.0988446498332163,0.3299315093432354,0.934486061531806,Tissue-specific,Androecium,FASCICLIN-like arabinogalactan 2,NA,45.895269942686056
Ca_03752,Androecium,878.328777,29.666372838709677,339.81198,28.674039203294274,2.580099376201505,0.4885069257214349,0.9662240682355444,Tissue-specific,Androecium,synaptosomal-associated protein SNAP25-like 29,NA,45.753432134947886
Ca_06061,Androecium,184.683909,1.6672464193548386,30.3845,69.61633077940874,5.916420812821616,0.7813387633958813,0.9909724326911726,Tissue-specific,Androecium,cell number regulator 6 [Glycine max],NA,45.71835290959358
Ca_02725,Androecium,383.897458,7.976337129032259,89.784327,42.879122348816665,4.239690602101395,0.608237341403499,0.979222740440672,Tissue-specific,Androecium,Mitochondrial ATP synthase subunit G protein,NA,45.60012588726283
Ca_15905,Androecium,1016.802185,38.015664887096776,311.535402,26.087013714755546,3.2565980637291134,0.4631748906093826,0.9626125263616572,Tissue-specific,Androecium,receptor-like kinase 902,NA,45.25375082876531
Ca_25049,Androecium,1549.085891,69.19430119354838,573.753211,22.08278826974731,2.696959079711866,0.4193394930660128,0.95533217260866,Tissue-specific,Androecium,beta-galactosidase 14,NA,45.205435962951505
